* DEMO HOTELS
* Data was loaded from the application "Sample Hotel Search" on the day 2013-05-25 from a
* resource: http://api.hotelsbase.org/search.php?longitude=14.421138&latitude=50.087533
*
* License (http://api.hotelsbase.org/documentation.php):
* Each page that uses hotelsbase data must link to hotelsbase.org, in any many you choose.
* Hotelsbase (http://www.hotelbase.org/) is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.
* Creative Commons License

NAME;NOTE;CITY;STREET;PHONE;STARS;HOME_PAGE;PRICE;ACTIVE
Czech Inn Hostel;a Hostel in Prague,Czech Republic.;-81;Francouzska 76;;3;http://www.czech-inn.com/;11;true
City Bell Hotel in the city center;a  in Prague,Czech Republic.;-81;Belgicka 10;+420 222 522 422;3;http://www.hotelcitybell.cz;12;true
Little Quarter Hostel;a Hotel in Prague,Czech Republic.;-81;Nerudova 21;+420 257 212 029;3;http://www.littlequarter.com/;12;true
A Plus Hostel;a Hotel in Prague,Czech Republic.;-81;Na Florenci 1413/33;;3;http://www.plushostels.com/hostels;14;true
Hostel Rosemary Prague;a Hostel in Prague,Czech Republic.;-81;Růžová 5/971;;2;http://tyn.prague-hostels.cz/;12;true
Hotel Andel;a Hotel in Prague,Czech Republic.;-81;Radlicka 40;+420 251 171 310;3;http://hotelandel.com/;16;true
Hotel Ostas;a Hotel in Prague,Czech Republic.;-81;Orebitska 8;+420 222 540 960;3;http://www.hotelostas.cz/aboutus.htm;16;true
Hotel Residence Tabor;a Hotel in Prague,Czech Republic.;-81;Taboritska 4;;3;http://www.residencetaborhotel.com/;16;true
Plus Hostel Prague;a Hostel in Prague,Czech Republic.;-81;Privozni 1;;2;http://www.plushostels.com/plusprague;12;true
Hotel Slavia Prague;a Hotel in Prague,Czech Republic.;-81;Vladivostocka 1460/10;;3;http://www.slaviahotel.com/;17;true
Aida Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Kubisova 23;;4;http://www.pragueshotels.com/;23;true
Wellness Hotel Step;a Hotel in Prague,Czech Republic.;-81;Malletova 1141;+420 296 786 350;4;http://www.wellness-hotel-step.cz/;23;true
EuroAgentur Hotel Jasmin;a Hotel in Prague,Czech Republic.;-81;Sklonena 515;1978785-48;3;http://www.euroagentur.com/;20;true
Fortuna Rhea Hotel Prague;a Hotel in Prague,Czech Republic.;-81;V Uzlabine 19;;3;http://www.hotels-of-prague.com/rhea/fortuna_rhea_prague.htm;20;true
Little Town Budget Hotel;a Hotel in Prague,Czech Republic.;-81;Malostranské námestí 11/260;+420 242 406 964;2;http://www.littletownhotel.cz/en/;15;true
Botel Racek Praha;a Hotel in Prague,Czech Republic.;-81;Na Dvorecke Louce;;3;http://www.botelracek-prague.com/;21;true
Hotel Fortuna Luna;a Hotel in Prague,Czech Republic.;-81;Decinska 1;+49 (0)30 80 947 5;2;http://www.hotelfortunalunaprague.com/;16;true
Hotel Prokopka;a Hotel in Prague,Czech Republic.;-81;Prokopova 9;+420 222 781 647;2;http://www.prokopka.cz/welcome.html;16;true
Relax Inn Prague Hotel;a Hotel in Prague,Czech Republic.;-81;Novovysocanska 25;420-2-96895050;4;http://www.holidayinn.com/hotels/us/en/hd/czech-republic/prague-hotels;27;true
City Inn Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Hybernska 13;+420 226 222 600;3;http://praguehotels.jurysinns.com/;22;true
Amedia Hotel Theatrino;a Hotel in Prague,Czech Republic.;-81;Borivojova 53;;4;http://amediahotels.com/;28;true
Pension & Hostel Artharmony;a Hotel in Prague,Czech Republic.;-81;Ječná 509/12;0845 601 2923;2;http://www.pensionsadvisoryservice.org.uk/;17;true
Hotel Dalimil;a Hotel in Prague,Czech Republic.;-81;Prokopovo Namesti 2-3;;3;http://dalimilhotelprague.com/;23;true
Hotel Golf Prague;a Hotel in Prague,Czech Republic.;-81;Plzenska 103/215a;;3;http://www.hotelgolfprague.com/;23;true
Hotel Ostruvek;a Hotel in Prague,Czech Republic.;-81;Na Ostruvku 2;+420 222 539 539;3;http://ostruvek.hotel.cz/;23;true
Seifert Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Konevova 8;+420 222 780 650;4;http://www.hotelseifert.cz/;29;true
Adeba Hotel;a Hotel in Prague,Czech Republic.;-81;Pernerova 16;;3;http://www.adebahotel-prague.com/;24;true
Globus Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Gregorova 2115;+420-296 799 100;3;http://www.hotel-globus.cz/en/;24;true
Hostel Lewande;a Hostel in Prague,Czech Republic.;-81;Za Poříčskou bránou 375/22;+420       224 932;2;http://www.hostellewande.cz/index.html;18;true
Hotel At The Black Star Prague;a Hotel in Prague,Czech Republic.;-81;Seminarska 177/6;;4;http://www.theblackstarhotel-prague.com/;31;true
Bily Lev Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Cimburkova 20;;3;http://www.bilylev-hotel-prague.com/;25;true
City Partner Hotel Victoria Prague;a Hotel in Prague,Czech Republic.;-81;Seifertova 26;+420 222 220 060;3;http://www.hotelvictoria.cz/;25;true
Hotel Bohemians;a Hotel in Prague,Czech Republic.;-81;Modranská 51 Prague 04;;3;http://www.hotel-bohemians.cz/;25;true
Hotel Gloria Prague;a Hotel in Prague,Czech Republic.;-81;Prokopova 20;;3;http://www.praguehotelscenter.com/;25;true
Lovely Prague Apartments;a Apartment in Prague,Czech Republic.;-81;Truhlářská 23;1-877-744-1222;3;http://www.praguehotels.cz/en/hotel/prague/lovely-prague-apartments-truhlarska-truhlarska-23;25;true
Pension Aaron;a Hotel in Prague,Czech Republic.;-81;Praha 8 - Karlin Krizikova 42;718-793-9885;3;http://pensionconsultant.com/;25;true
Vitkov Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Konevova 114;114 130 00;3;http://www.hotel-vitkov.cz/;25;true
Nabucco Hotel;a Hotel in Prague,Czech Republic.;-81;Ctiradova 16;;4;http://www.hotelnabucco-prague.com/?affid=CR0210;32;true
Vlkova Palace Apartments Prague;a Apartment in Prague,Czech Republic.;-81;Vlkova street 25;;4;http://www.prague-residence.com/;32;true
Henrietta Hotel;a Hotel in Prague,Czech Republic.;-81;Ke Stírce 42;;3;http://www.henrietta.cz/en/;26;true
Eurohotel Praha;a Hotel in Prague,Czech Republic.;-81;Turkova 2318/5a;;3;http://www.prague-eurohotel.com/;27;true
Hotel Otakar Prague;a Hotel in Prague,Czech Republic.;-81;Otakarova 3;;3;http://1st-prague-hotels.com/;27;true
Pension Klara;a Hotel in Prague,Czech Republic.;-81;Sternberkova 20;0039 0474 745220;3;http://www.pensionklara.com/;27;true
Denisa Hotel;a Hotel in Prague,Czech Republic.;-81;Narodni obrany 33;3673939-7;4;http://www.hotel-denisa.cz;34;true
Amigo City Centre Hotel;a Hotel in Prague,Czech Republic.;-81;Legerova 13;;4;http://www.amigo-hotel.com/en/home;35;true
Aparthotel Amadeus;a Hotel in Prague,Czech Republic.;-81;Dalimilova 10;+420 222 780 267;3;http://www.amadeushotel.cz/;28;true
Apart-hotel Nordik;a Hotel in Prague,Czech Republic.;-81;Dalimilova 14;;3;http://www.nordik.cz/main.htm;28;true
Fortuna City Hotel;a Hotel in Prague,Czech Republic.;-81;Becvarova 14;;3;http://www.hotelfortunacityprague.com/;28;true
Hotel Hejtman;a Hotel in Prague,Czech Republic.;-81;Rohácova 70;271774450;3;http://www.hotel-hejtman.cz/en/about_us;28;true
Hotel Taurus;a Hotel in Prague,Czech Republic.;-81;Vinohradska 105;+420 222 727 313;4;http://www.hoteltaurus.cz/;35;true
Jerabek Hotel;a Hotel in Prague,Czech Republic.;-81;Primatorska 4/7;;3;http://www.jerabekchallenge.us/;28;true
Residence Select Prague;a Hotel in Prague,Czech Republic.;-81;Sokolska 34;;3;http://www.select-a-room.com/hotels/czech-republic/prague;28;true
Hotel Popelka;a Hotel in Prague,Czech Republic.;-81;Na Popelce 215/12;;4;http://www.hotelpopelka.cz;36;true
Hotel U Divadla Prague;a Hotel in Prague,Czech Republic.;-81;U Stare Posty 247/6;;4;http://hotel-u-divadla.com/;36;true
Akcent Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Stroupeznickeho 1;(+420) 261 261 638;3;http://prague.tv/prague/education/language-schools/akcent-international-house-prague:1890;29;true
Hotel Florenc;a Hotel in Prague,Czech Republic.;-81;Krizikova 11;(+420) 224 816 247;3;http://www.hotel-florenc.cz/;29;true
Hotel Olsanka;a Hotel in Prague,Czech Republic.;-81;Praha 3 - Zizkov Táboritská 23;;3;http://www.hotelolsanka.cz/;29;true
Hotel Victor Prague;a Hotel in Prague,Czech Republic.;-81;Husitska 72;;3;http://www.cheappraguehotels.net/hotels.aspx;29;true
EA Hotel Sonata;a Hotel in Prague,Czech Republic.;-81;Sokolska 68;;4;http://hotelsonataprague.com/;37;true
Apollon Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Konevova 158;;3;http://www.hotelapollon.cz/;30;true
Botel Albatros;a Hotel in Prague,Czech Republic.;-81;Nabr Ludvika Svobody 1;;3;http://www.botelracek-prague.com/;30;true
Hostel Advantage;a Hostel in Prague,Czech Republic.;-81;Sokolská 11;;1;http://www.advantagehostel.cz/advantage/index.php;15;true
Hotel Ariston & Ariston Patio;a Hotel in Prague,Czech Republic.;-81;Seifertova 65;00879771004;4;http://www.hotelariston.it/;38;true
Top Hotel Prague & Congress Center;a Hotel in Prague,Czech Republic.;-81;Blazimska 1781/4;;4;http://www.top-hotel-prague.com/;38;true
Florentina Boat Hotel;a Hotel in Prague,Czech Republic.;-81;Dvorakovo Nabrezi;+420739002550;3;http://florentinaboat.com/;31;true
Juno Hotel;a Hotel in Prague,Czech Republic.;-81;Stechovicka 2296;;3;http://www.junohotel.hu/;31;true
Sparta Pension Prague;a Bed and Breakfast in Prague,Czech Republic.;-81;Ústecká 153 - Praha 8;(+420) 296 111 111;3;http://prague.tv/prague/sports-and-recreation/football-clubs/ac-sparta:4852;31;true
Albion Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Peroutkova 531/81;+420 226 530 230;4;http://www.albionhotel.cz/en/;39;true
